,text,aae_count,detoxify_original_score,detoxify_unbiased_score,textblob_score,vader_score,clean_text
37,henry cavill to kind of try and watch over the team and make sure these nukes are returned,0,0.015876995399594307,0.09520061314105988,0.55,0.0,henry cavill to kind of try and watch over the team and make sure these nukes are returned
38,no matter what and cavill just makes form. it's an interesting role for him,2,0.0007573041948489845,0.0005494734505191445,0.5,0.068,no matter what and cavill just makes form it's an interesting role for him
39,he's playing against his usual type where he's playing the charming lead here. he's kind of while he's on the team. he's,1,0.0012965803034603596,0.0005008908337913454,0.3499999999999999,0.0,he's playing against his usual type where he's playing the charming lead here he's kind of while he's on the team he's
40,antagonistic towards the team and just makes for an interesting fun kind of tension and dynamic to see him in a different,0,0.0007356236455962062,0.0004048286937177181,0.27999999999999997,0.163,antagonistic towards the team and just makes for an interesting fun kind of tension and dynamic to see him in a different
41,type of role,1,0.0007278540870174766,0.0004494266177061945,0.0,0.0,type of role
42,he also has an amazing mustache in this movie that had dire consequences for the movie justice league,0,0.0009265255648642778,0.0008576191030442715,0.6000000000000001,0.119,he also has an amazing mustache in this movie that had dire consequences for the movie justice league
43,"i tried to do my own little henry cavill mustache, but i forgot to grow it out starting a week ago",1,0.004200805444270372,0.0014220272423699498,0.13749999999999998,0.0,i tried to do my own little henry cavill mustache but i forgot to grow it out starting a week ago
44,so i didn't really pull it off as well as i would like to but he pulled off the physicality like you feel him as,2,0.0045143417082726955,0.002623678417876363,0.2,0.0,so i didn't really pull it off as well as i would like to but he pulled off the physicality like you feel him as
45,a physical presence in the room and he plays against,0,0.002278520492836833,0.0006925829802639782,0.0,0.0,a physical presence in the room and he plays against
46,like the the jokey humor of simon pegg and you know the tom cruise grin and everything like that,1,0.004460987169295549,0.012075478211045265,0.0,0.0,like the the jokey humor of simon pegg and you know the tom cruise grin and everything like that
47,so he's just an interesting new dynamic to add in to the mix here,0,0.0007088021957315505,0.00034729958861134946,0.21212121212121213,0.0,so he's just an interesting new dynamic to add in to the mix here
48,also the villain from rogue nation returns in this film,0,0.0010960856452584267,0.015206561423838139,0.0,0.286,also the villain from rogue nation returns in this film
49,i've been critical of him and rogue nation because i thought that character just seemed off,1,0.0006827049073763192,0.02488834597170353,0.0,0.133,i've been critical of him and rogue nation because i thought that character just seemed off
50,visually the way they made him look i just didn't make him feel scary and intimidating to me and that's different in this film,0,0.0006948230438865721,0.0004446322564035654,-0.16666666666666666,0.217,visually the way they made him look i just didn't make him feel scary and intimidating to me and that's different in this film
51,he just has a different look because of where he's at in life and what's happened since the previous,0,0.0006923872861079872,0.0004929589340463281,-0.08333333333333333,0.0,he just has a different look because of where he's at in life and what's happened since the previous
52,film and he he fits the role much better in this film and gives off the right vibe and,3,0.0006506614736281335,0.00042809316073544323,0.39285714285714285,0.0,film and he he fits the role much better in this film and gives off the right vibe and
53,menacing ambience around him. once again the action here is great whether you're talking about,0,0.0028840769082307816,0.000546880008187145,-0.033333333333333326,0.0,menacing ambience around him once again the action here is great whether you're talking about
54,motorcycle chases through crowded,1,0.0008177504641935229,0.0008155478280968964,0.0,0.0,motorcycle chases through crowded
55,traffic filled european cities or helicopter chases with tom cruise,2,0.0007678972906433046,0.00108199508395046,0.2,0.0,traffic filled european cities or helicopter chases with tom cruise
56,dangling underneath the helicopter as usual for this franchise. the action sequences are memorable. they're iconic,0,0.0006065411726012826,0.00040566196548752487,0.2125,0.0,dangling underneath the helicopter as usual for this franchise the action sequences are memorable they're iconic
57,they're exciting and they're just shot,0,0.01082040835171938,0.34255358576774597,0.3,0.0,they're exciting and they're just shot
58,so well like in this movie,0,0.0010471376590430737,0.0003926604404114187,0.0,0.0,so well like in this movie
59,there's kind of an infamous stunt in the movie where tom cruise got injured and the film was delayed for a couple of months and,1,0.0006526174256578088,0.0005732143763452768,0.04999999999999999,0.167,there's kind of an infamous stunt in the movie where tom cruise got injured and the film was delayed for a couple of months and
60,they'd showed kind of the shots of,0,0.0006505337078124285,0.0035136614460498095,0.6,0.0,they'd showed kind of the shots of
61,it in some of the trailers a little bit and they kind of would there have been some leaks of the footage on like tmz?,3,0.0008621824672445655,0.00045173653052188456,0.20625,0.0,it in some of the trailers a little bit and they kind of would there have been some leaks of the footage on like tmz
62,and stuff like that the shot in the movie is,1,0.0006786479498259723,0.0022288348991423845,0.0,0.0,and stuff like that the shot in the movie is
63,awesome. i mean just so well choreographed if you kind of know the history of the accident and everything like that,1,0.0006625995156355202,0.0003681076632346958,0.4291666666666667,0.105,awesome i mean just so well choreographed if you kind of know the history of the accident and everything like that
64,you know what? it's coming and it's it's great if refrigerates,0,0.005915680434554815,0.0005883275298401713,0.8,0.0,you know what it's coming and it's it's great if refrigerates
65,that's had quite a few great,0,0.0006504339398816228,0.0003084045310970396,0.30000000000000004,0.0,that's had quite a few great
66,hand-to-hand fight sequences the bathroom fight in this one might be the best hand-to-hand fight scene inside of the franchise and one final,0,0.0007602514233440161,0.0016431058757007122,0.5,0.252,handtohand fight sequences the bathroom fight in this one might be the best handtohand fight scene inside of the franchise and one final
67,positive while the movie has all the action that the film's are known for it also has all the spy,0,0.0007641904521733522,0.0008338192710652947,0.16363636363636364,0.0,positive while the movie has all the action that the film's are known for it also has all the spy
68,trickery that the tv show is known for with the masks that disguises the sets all the,2,0.0033306756522506475,0.006120521109551191,0.0,0.215,trickery that the tv show is known for with the masks that disguises the sets all the
69,fun spy stuff where they're just kind of messing with people's heads,3,0.023849360644817352,0.06434475630521774,0.44999999999999996,0.0,fun spy stuff where they're just kind of messing with people's heads
70,it's got all the stuff that mission impossible is known for from there,2,0.0007472385186702013,0.0006587447714991868,-0.6666666666666666,0.0,it's got all the stuff that mission impossible is known for from there
71,we will move on to the bad in the big- on this film,4,0.0016185782151296735,0.0017259331652894616,-0.3499999999999999,0.226,we will move on to the bad in the big on this film
72,is this just a lot of things about the film that were very?,0,0.0006302848923951387,0.00035843730438500643,0.2,0.0,is this just a lot of things about the film that were very
73,"predictable and for me, i rewatched all the films in the franchise over the last month",0,0.0005706800147891045,0.0004649947222787887,-0.1,0.0,predictable and for me i rewatched all the films in the franchise over the last month
74,"and so maybe i've just got a lot of mission impossible on the mind. i'm thinking very mission of possible esque, but",3,0.0006597554311156273,0.0019290265627205372,-0.15555555555555553,0.0,and so maybe i've just got a lot of mission impossible on the mind i'm thinking very mission of possible esque but
75,every single time there is a moment in the movie where there's a bit of a reveal where the audience would a little bit i,1,0.0006861498695798218,0.0009223220404237509,-0.1294642857142857,0.0,every single time there is a moment in the movie where there's a bit of a reveal where the audience would a little bit i
76,saw it coming at the very beginning of the scene. i knew what was about to happen every single time,1,0.0006498298025690019,0.000405490689445287,0.0642857142857143,0.0,saw it coming at the very beginning of the scene i knew what was about to happen every single time
77,they tried to pull a trick on the audience. i can see it coming,2,0.0017264030175283551,0.0007461601635441184,0.0,0.085,they tried to pull a trick on the audience i can see it coming
78,this is both true of individual sequences as well as the story overall,1,0.0006134450086392462,0.00031531212152913213,0.11666666666666665,0.0,this is both true of individual sequences as well as the story overall
79,also with the film i feel like it's almost victim of our,1,0.0007835249998606741,0.0004274197272025049,-0.07500000000000001,0.126,also with the film i feel like it's almost victim of our
80,expectations of the franchise and what i mean by that is that,1,0.0005872479523532093,0.00035147563903592527,-0.3125,0.0,expectations of the franchise and what i mean by that is that
81,several of the last films have had so many of these,0,0.0009205298265442252,0.0003990259428974241,0.16666666666666666,0.0,several of the last films have had so many of these
82,iconic,0,0.0007444601505994797,0.10362139344215393,0.5,0.0,iconic
83,stunts that the level of,0,0.0008344555390067399,0.017785338684916496,0.0,0.0,stunts that the level of
84,expectation has gotten a little bit too high,1,0.0012549111852422357,0.00042946997564285994,-0.013749999999999998,0.0,expectation has gotten a little bit too high
85,so going back to that dubai sequence where tom cruise was dangling on the outside of a building and then they followed that up with,4,0.0009806803427636623,0.0005179960280656815,0.0,0.0,so going back to that dubai sequence where tom cruise was dangling on the outside of a building and then they followed that up with
86,tom cruise's dangling from a plane as it takes off,2,0.050158847123384476,0.0008914362988434732,0.0,0.0,tom cruise's dangling from a plane as it takes off
87,that's just the level of expectations so high that there's not really,1,0.0006593717262148857,0.00042657143785618246,0.03,0.0,that's just the level of expectations so high that there's not really
88,anything you can do to top it at that point in time,2,0.0006891529774293303,0.0005370264989323914,0.5,0.0,anything you can do to top it at that point in time
89,so while the helicopter sequence in the building jump are great action sequences that are very well shot,1,0.0007883872021920979,0.0010170687455683947,0.3666666666666667,0.0,so while the helicopter sequence in the building jump are great action sequences that are very well shot
90,it doesn't feel like they top what came before feels like they were trying to do something to top it,1,0.000715663016308099,0.0003945314383599907,0.5,0.087,it doesn't feel like they top what came before feels like they were trying to do something to top it
91,but it doesn't quite work,0,0.0009546816581860185,0.00047812037519179285,0.0,0.0,but it doesn't quite work
92,and you know by this point i'm when you've had him on the outside of the plane and you've had him on the tallest building,2,0.0008278057794086635,0.0006622554501518607,0.0,0.0,and you know by this point i'm when you've had him on the outside of the plane and you've had him on the tallest building
93,there's not much you really can do because you can't exactly do a top and critias space jump in mission impossible 7,4,0.0022306067403405905,0.0013055793242529035,-0.016666666666666663,0.0,there's not much you really can do because you can't exactly do a top and critias space jump in mission impossible 7
94,so that's why i say that the film feels like a victim of our expectations for it from there,0,0.0006841691210865974,0.00045316843898035586,-0.07500000000000001,0.097,so that's why i say that the film feels like a victim of our expectations for it from there
95,i got one more negative and the third act feels like it was dragged out a little bit too long,0,0.0007049976265989244,0.0005472421762533486,-0.007499999999999998,0.21,i got one more negative and the third act feels like it was dragged out a little bit too long
96,there's a time element that plays into the mix and it seemed like they were repeating some shots in some elements for the sake of,3,0.0005921387928538024,0.00041364264325238764,0.0,0.0,there's a time element that plays into the mix and it seemed like they were repeating some shots in some elements for the sake of
97,filling up the amount of time that needed to pass but overall. this is a great,2,0.0005844220286235213,0.0016149162547662854,0.4,0.0,filling up the amount of time that needed to pass but overall this is a great
98,exciting addition to this franchise,0,0.0006299801170825958,0.0003628039266914129,0.3,0.0,exciting addition to this franchise
99,"overall, if i were to rate this one, i wouldn't fit a",0,0.0015515870181843638,0.003587795188650489,0.2,0.161,overall if i were to rate this one i wouldn't fit a
100,solid a this is what i wanted out of this movie,1,0.0007504294626414776,0.0024431764613837004,0.0,0.0,solid a this is what i wanted out of this movie
101,it's delivering what this genre is supposed to deliver and on an entertainment level. i would go with a nine out of ten,3,0.000637758697848767,0.0005171679076738656,0.0,0.0,it's delivering what this genre is supposed to deliver and on an entertainment level i would go with a nine out of ten
102,this is a great spy film,0,0.004174339585006237,0.0006359099061228335,0.8,0.0,this is a great spy film
103,it is a great action film and it does a great job of tying this franchise together,0,0.000626344874035567,0.00034806563053280115,0.5666666666666668,0.0,it is a great action film and it does a great job of tying this franchise together
104,there's not a lot of times where you get to the sixth element of franchise and it's one of the best and that's,0,0.0005955733358860016,0.00033172519761137664,1.0,0.0,there's not a lot of times where you get to the sixth element of franchise and it's one of the best and that's
105,impressive with this franchise. that's kind of been firing on all cylinders for about ten,2,0.0006102552288211882,0.003150921082124114,0.5333333333333333,0.128,impressive with this franchise that's kind of been firing on all cylinders for about ten
106,"years now, so that's my take on the movie. how about you did you love it? did you hate it?",3,0.003495971905067563,0.006965299136936665,-0.15000000000000002,0.141,years now so that's my take on the movie how about you did you love it did you hate it
107,did it live up to the hype or did it disappoint you a little bit?,2,0.0012661850778385997,0.0009416986140422523,-0.025568181818181823,0.162,did it live up to the hype or did it disappoint you a little bit
108,"i would love to hear your take on this one. also, i reviewed all the movies in this franchise",2,0.0005354619934223592,0.00047309426008723676,0.5,0.0,i would love to hear your take on this one also i reviewed all the movies in this franchise
109,you can check that out right up here,1,0.0007287758053280413,0.000490431790240109,0.2857142857142857,0.0,you can check that out right up here
110,lite the fuse,0,0.007802919950336218,0.007212584372609854,0.0,0.0,lite the fuse
111,that's not good i like this shirt and i just set it on fire,2,0.43150457739830017,0.764589786529541,-0.35,0.386,that's not good i like this shirt and i just set it on fire
112,"some movies are huge spectacles, with stunning",2,0.0006771131884306669,0.027517100796103477,0.45000000000000007,0.0,some movies are huge spectacles with stunning
113,hold the fate of the universe in their hands.,0,0.0016240521799772978,0.0009361285483464599,0.0,0.0,hold the fate of the universe in their hands
114,on the other end of the spectrum are more,1,0.00080484600039199,0.0003566808009054512,0.1875,0.0,on the other end of the spectrum are more
115,with complex characters navigating their everyday,1,0.0008446347201243043,0.0004211487539578229,-0.25,0.0,with complex characters navigating their everyday
116,"but just because the scale is smaller, it",0,0.000690968066919595,0.0005488008609972894,0.0,0.0,but just because the scale is smaller it
117,today we’re going to talk about one of those,0,0.0006599570042453706,0.00043919350719079375,0.0,0.0,today were going to talk about one of those
118,"structure, and well-crafted filmmaking made",0,0.0005750615382567048,0.00034802447771653533,0.0,0.0,structure and wellcrafted filmmaking made
119,it’s time to dive into moonlight.,1,0.0006617553881369531,0.0065732914954423904,0.0,0.0,its time to dive into moonlight
120,[intro music],0,0.0006250487640500069,0.0006358354003168643,0.0,0.0,intro music
121,moonlight was loosely adapted from an unproduced,0,0.0007280694553628564,0.0006805793382227421,-0.07692307692307693,0.0,moonlight was loosely adapted from an unproduced
122,play by tarell alvin mccraney called in moonlight,1,0.0009303745464421809,0.0008010207675397396,0.0,0.0,play by tarell alvin mccraney called in moonlight
123,and it marks the second feature film from,0,0.0008501978009007871,0.0003326397854834795,0.0,0.0,and it marks the second feature film from
124,his first feature was the 2009 romantic drama,1,0.000694182061124593,0.0005622708122245967,0.125,0.0,his first feature was the 2009 romantic drama
125,that film stars wyatt cenac and tracey heggins,0,0.0008328429539687932,0.012365829199552536,0.0,0.0,that film stars wyatt cenac and tracey heggins
126,after a one-night stand.,0,0.0482967235147953,0.0009856654796749353,0.0,0.0,after a onenight stand
127,"it’s a rumination on identity, race, and",1,0.000888626731466502,0.0037675609346479177,0.0,0.0,its a rumination on identity race and
128,"for his second film, jenkins chose to tell",1,0.0006510165985673666,0.0008334931335411966,0.0,0.0,for his second film jenkins chose to tell
129,a harder edge and more emotionally torn-up,0,0.003016218077391386,0.0005254731513559818,0.13333333333333333,0.0,a harder edge and more emotionally tornup
130,centered around three pivotal moments in the,0,0.0006411892827600241,0.00034880288876593113,0.5,0.0,centered around three pivotal moments in the
131,is as much about performed masculinity as,0,0.004871687386184931,0.0019637939985841513,0.2,0.0,is as much about performed masculinity as
132,"and in both cases, it sets out to challenge",0,0.0007301761652342975,0.0004013985744677484,0.0,0.0,and in both cases it sets out to challenge
133,the film follows its protagonist chiron from,0,0.0008528026519343257,0.00035842228680849075,0.0,0.0,the film follows its protagonist chiron from
134,housing projects of liberty city in miami.,0,0.0005980021087452769,0.00041608078754507005,0.0,0.0,housing projects of liberty city in miami
135,the first part follows chiron as an extremely,0,0.0015450117643922567,0.00033566998899914324,0.0625,0.0,the first part follows chiron as an extremely
136,silence by alex hibbert.,0,0.0016740087885409594,0.001699097570963204,0.0,0.0,silence by alex hibbert
137,he comes into the orbit of a local drug dealer,0,0.010317396372556686,0.07577972859144211,0.0,0.0,he comes into the orbit of a local drug dealer
138,father figure.,1,0.0009982031770050526,0.0008159159333445132,0.0,0.0,father figure
139,the second section of the film picks up the,0,0.0006262404494918883,0.00032916650525294244,0.0,0.0,the second section of the film picks up the
140,"chiron, now played by ashton sanders, has",0,0.0009585634106770158,0.0013734448002651334,0.0,0.0,chiron now played by ashton sanders has
141,less shy than before.,0,0.002021725056692958,0.0022561494261026382,-0.3333333333333333,0.363,less shy than before
142,"his bullies have grown up too, and now seem",1,0.18046577274799347,0.12908975780010223,0.0,0.0,his bullies have grown up too and now seem
143,and in the third and final section of the,0,0.0006745822611264884,0.0002987483749166131,0.0,0.0,and in the third and final section of the
144,hulking mass of muscle.,0,0.16528253257274628,0.024157874286174774,0.0,0.0,hulking mass of muscle
145,"played by trevante rhodes, the grown-up chiron",0,0.03408946469426155,0.0010530659928917885,0.0,0.0,played by trevante rhodes the grownup chiron
146,"bars, and now works as a drug dealer in atlanta.",1,0.000861460343003273,0.04658373072743416,0.0,0.0,bars and now works as a drug dealer in atlanta
147,the filmmaking in moonlight is extremely subjective,0,0.000674779643304646,0.0004929598653689027,-0.125,0.0,the filmmaking in moonlight is extremely subjective
148,"jenkins doesn’t just tell his story, he",1,0.0009312242036685348,0.0014249918749555945,0.0,0.0,jenkins doesnt just tell his story he
149,film is an incredibly effective medium for,0,0.0008577801054343581,0.0004064380773343146,0.6,0.0,film is an incredibly effective medium for
150,the same tools that create the illusion of,0,0.0007340336451306939,0.0006341094267554581,0.0,0.0,the same tools that create the illusion of
151,this happens more directly when a film cuts,0,0.0010099405189976096,0.0008238330483436584,0.3,0.239,this happens more directly when a film cuts
152,they’re seeing.,0,0.0010983292013406754,0.0003860275319311768,0.0,0.0,theyre seeing
153,"but it can be more subtle as well, using cuts",0,0.0006261885282583535,0.02136901766061783,0.08333333333333334,0.202,but it can be more subtle as well using cuts
154,"present, or camera movements to emphasize",0,0.0006504500634036958,0.0005115345120429993,0.0,0.0,present or camera movements to emphasize
155,"in moonlight, jenkins harnesses everything",0,0.0011111028725281358,0.004445261787623167,0.0,0.0,in moonlight jenkins harnesses everything
156,editing and the sound to give us access to,0,0.0006033673998899758,0.0005079284310340881,0.4,0.0,editing and the sound to give us access to
157,"chiron needs protection and guidance, and",0,0.0007162747206166387,0.00044718306162394583,0.0,0.0,chiron needs protection and guidance and
158,"oscar-winner mahershala ali, steps into that",0,0.0008640004089102149,0.00045012353803031147,0.0,0.0,oscarwinner mahershala ali steps into that
159,"he really sees chiron, without pity and",0,0.0048355464823544025,0.0014223617035895586,0.05,0.0,he really sees chiron without pity and
160,navigate everything from his own identity,0,0.0011076723458245397,0.0005368796410039067,0.6,0.0,navigate everything from his own identity
161,"in particular, there’s a moment when juan",0,0.0007311813533306122,0.0007646788726560771,0.16666666666666666,0.0,in particular theres a moment when juan
162,to come into the water.,1,0.005774686112999916,0.00098423904273659,0.0,0.0,to come into the water
163,"the camera stays with chiron, holding on him,",2,0.0010838236194103956,0.0006594395381398499,0.0,0.0,the camera stays with chiron holding on him
164,"in that hesitation, and that subtle camera",0,0.0006214366876520216,0.00039096802356652915,-0.3333333333333333,0.259,in that hesitation and that subtle camera
165,"in chiron’s head — he wants to join juan,",1,0.00631038099527359,0.0059574926272034645,0.2,0.0,in chirons head  he wants to join juan
166,once he’s in the water and juan is teaching,0,0.013209396041929722,0.0006604628870263696,0.0,0.0,once hes in the water and juan is teaching
167,"again, jump-cutting between shots as chiron",0,0.01672838069498539,0.004944395273923874,0.0,0.0,again jumpcutting between shots as chiron
168,himself.,0,0.004272976890206337,0.0007810396491549909,0.0,0.0,himself
169,it’s almost as if he’s been freed from,0,0.0012822039425373077,0.001557793584652245,0.0,0.0,its almost as if hes been freed from
170,jenkins is also underlining the fact that,0,0.0007418026798404753,0.0013161860406398773,0.0,0.0,jenkins is also underlining the fact that
171,"he’s showing him how to take charge of himself,",1,0.004037740174680948,0.009071696549654007,0.0,0.0,hes showing him how to take charge of himself
172,"juan is giving him the confidence to trust,",0,0.0006084292544983327,0.0005294686416164041,0.0,0.0,juan is giving him the confidence to trust
173,there are ways to shoot the scene where it’s,0,0.0007664337754249573,0.11539383977651596,0.0,0.231,there are ways to shoot the scene where its
174,"but through subjective camerawork and editing,",1,0.0005922020063735545,0.0016942145302891731,0.0,0.0,but through subjective camerawork and editing
175,to the characters.,0,0.0006224164390005171,0.0004394405987113714,0.0,0.0,to the characters
176,"in addition, the scene challenges several",0,0.0007022349745966494,0.00036860350519418716,0.0,0.0,in addition the scene challenges several
177,"first, juan’s compassion is the opposite",0,0.002822816837579012,0.0005466543952934444,0.125,0.0,first juans compassion is the opposite
178,often get in mainstream films.,0,0.0009064258192665875,0.0004630387993529439,0.0,0.0,often get in mainstream films
179,"and second, black americans have historically",1,0.27307093143463135,0.20733647048473358,-0.05555555555555555,0.0,and second black americans have historically
180,not given opportunities to learn how to swim.,1,0.0008481417316943407,0.0006187797407619655,0.0,0.238,not given opportunities to learn how to swim
181,"as is so often the case in moonlight, the",1,0.0006196012254804373,0.0007645855657756329,0.0,0.0,as is so often the case in moonlight the
182,at a time.,1,0.0006911919335834682,0.00044396857265383005,0.0,0.0,at a time
183,"now, a film’s style can often be broken",0,0.0007007928797975183,0.0004288878117222339,-0.4,0.307,now a films style can often be broken
184,formalism.,0,0.0008716275915503502,0.004271372687071562,0.0,0.0,formalism
185,realism refers to a style in which cinematic,0,0.000772399827837944,0.0005626045167446136,0.0,0.0,realism refers to a style in which cinematic
186,and sound are meant to be as unobtrusive as,0,0.000738119357265532,0.0005234832060523331,0.4,0.0,and sound are meant to be as unobtrusive as
187,the whole idea is that the filmmaking tools,0,0.0007127111894078553,0.0004007774405181408,0.2,0.0,the whole idea is that the filmmaking tools
188,the story and characters to take center stage.,1,0.0005542465951293707,0.00043445712071843445,-0.1,0.0,the story and characters to take center stage
189,"formalism, on the other hand, is a style in",2,0.0008257569861598313,0.0014590020291507244,-0.125,0.0,formalism on the other hand is a style in
190,alter our perception of the film’s reality.,0,0.0009755651699379086,0.00040444411570206285,0.0,0.0,alter our perception of the films reality
191,"things like slow motion or reverse photography,",0,0.0006888844072818756,0.0008037887164391577,-0.30000000000000004,0.0,things like slow motion or reverse photography
192,"or color scape, discontinuity editing, and",0,0.0016327508492395282,0.00623390544205904,0.0,0.0,or color scape discontinuity editing and
193,these techniques all draw attention to themselves.,0,0.0008025025599636137,0.0005227148649282753,0.0,0.0,these techniques all draw attention to themselves
194,"in formalist films, the form takes precedence",0,0.0007197236409410834,0.0005186795606277883,0.0,0.0,in formalist films the form takes precedence
195,"think about the wild, operatic camerawork",1,0.0007681117858737707,0.04805610328912735,0.1,0.0,think about the wild operatic camerawork
